component,load_N,temperature_C,material_type,stress_Pa,strain,yield_point_Pa,safety_factor
coupling,9512.07163345817,737.354062975177,chromium,1578316.7663262992,5.657049341671323e-06,154215312.34160763,97.70872085491446
coupling,1644.345751328406,36.263411407095845,aluminium,189546.79957527833,2.707811422503976e-06,134890245.2470434,711.6461240669582
bearing,303.7864935284442,582.5477142539567,titanium,36420.076709357825,3.310916064487075e-07,171815357.18255422,4717.600090567842
pulley,1900.067175350296,71.35326275896148,aluminium,610561.7837808102,8.722311196868717e-06,120269473.85043271,196.98166024359148
pulley,4376.255684556946,43.298331215843355,abs_plastic,710737.6050137501,0.0003553688025068751,25567222.928052217,35.97280170303861
piston,9740.179636530445,248.11591362169816,chromium,9769451.826721853,3.5015956368178684e-05,317294695.459434,32.47824965895783
cam,3886.373713544911,590.2739137679372,titanium,823218.1102642148,7.483801002401953e-06,162157607.79007855,196.98012685609345
spring,6835.044632019019,281.28956614233493,titanium,29547607.54348747,0.00026861461403170425,548388042.3220813,18.559473605941758
valve_body,5676.553356670839,397.70817248911777,chromium,21996526.558129914,7.884059698254449e-05,267430609.17029408,12.157856308065682
shaft,2486.152113657516,689.5982484489491,chromium,404978.90757129696,1.451537303122928e-06,170133917.18368363,420.1056252632895
flange,9102.271980579942,170.0923893280098,titanium,1366918.7786973296,1.2426534351793905e-05,687384513.3399878,502.87151223064154
shaft,5720.233245417916,28.767721887556405,aluminium,677863.6484735211,9.683766406764587e-06,138013449.21351817,203.6006054083446
bracket,4011.987336417963,279.4644824222624,aluminium,549587.8515062158,7.851255021517368e-06,33556465.65739067,61.05750985110913
housing,547.7501602143268,338.82372414799903,chromium,138744.5080151458,4.972921434234617e-07,287058758.61733365,2068.973847858521
shaft,5908.836540072098,97.22042458113104,abs_plastic,967133.4901597629,0.00048356674507988147,7593191.806289652,7.85123448163843
lever,3033.107706470416,148.90821246914194,steel,11903856.462498667,5.951928231249333e-05,211221819.66949427,17.74398240897118
valve_body,2067.285247188307,24.30725135640987,steel,252938.7020083731,1.2646935100418656e-06,243669986.62593493,963.3558830307774
gear,7922.737851258936,371.4567853729866,titanium,854629.3641252958,7.769357855684507e-06,435679018.2837668,509.7870920099729
piston,9158.10078788343,683.0300906760434,steel,2012963.3235404764,1.0064816617702381e-05,72127580.55311368,35.83154233841328
gear,7323.101165546835,71.00459770841705,abs_plastic,824357.3512965695,0.00041217867564828474,16331800.763860982,19.811554707644596
gear,1283.9830347891868,433.6819765893371,titanium,168241.79730920718,1.5294708846291561e-06,357897529.2633286,2127.2807054334908
piston,5275.0550108817415,267.9737906479588,titanium,15000894.895381836,0.00013637177177619852,565032761.6900514,37.66660360136261
lever,411.14893829866907,389.1180385329926,titanium,127999.07820462222,1.1636279836783838e-06,413602451.83375925,3231.2924251889144
bearing,2567.993068573862,52.830633842850375,abs_plastic,338787.3196846122,0.00016939365984230612,22389788.71904988,66.08803641143723
bearing,862.1011073050506,43.180116233101444,abs_plastic,508287.1364335827,0.00025414356821679135,25606627.922299515,50.37827260782057
shaft,8100.3917576877275,197.35305182291856,aluminium,928149.9890619603,1.3259285558028004e-05,67769561.74045059,73.0157437257983
bracket,1947.0435829717549,894.7078185201782,chromium,357946.0995565785,1.2829609303103173e-06,101764060.49327396,284.29995638823465
piston,3627.3485969620515,908.691872714839,chromium,1298212.8642305543,4.65309270333532e-06,97102709.09505367,74.7972168282326
cylinder,8198.346182632682,691.3698549399479,steel,48560895.25584532,0.00024280447627922662,69955766.9427219,1.4405781972131426
flange,4232.368931172912,148.82253007302356,titanium,3289404.703648146,2.9903679124074052e-05,713971837.4087206,217.0519901722288
bracket,3299.709027005477,320.89856061115233,titanium,467388.316990948,4.248984699917709e-06,498876799.2360596,1067.3711368051192
gear,2613.7625979500126,212.56332901410894,steel,373746.38951770286,1.8687319475885142e-06,194644966.4025758,520.7942387182746
bolt,1566.060606538659,798.2375783381747,steel,571318.9233239117,2.8565946166195587e-06,42125630.64110034,73.73400201067213
shaft,4169.26643185049,29.254205212153547,aluminium,1185728.935134996,1.69389847876428e-05,137810747.82826936,116.22449595748418
gear,6838.983970392192,327.9420583239391,titanium,1508692.590538769,1.3715387186716082e-05,490072427.09507614,324.8325272944215
pulley,900.447930693881,382.26136694017634,chromium,360556.5467758322,1.2923173719563878e-06,272579544.3532745,755.9966579188052
pulley,6359.827722876436,70.68237686087159,abs_plastic,1176837.2315323101,0.000588418615766155,16439207.713042805,13.96897317026417
gear,3275.7226432201846,165.4844381118863,steel,6503657.692340291,3.2518288461701455e-05,206905094.2416963,31.813650722328084
bearing,6807.887182238596,36.25607234929903,chromium,1316877.026293907,4.719989341555222e-06,387914642.55023366,294.57165308893235
bolt,6487.2106250535535,190.87910042489162,chromium,934718.3763946056,3.350245076683174e-06,336373633.1917028,359.8662888057927
coupling,8393.330048482547,209.1932327709986,aluminium,1137517.2830887062,1.6250246901267232e-05,62836153.01208392,55.23973476821786
shaft,2653.6221143800403,204.79553288957013,aluminium,323987.81332177075,4.628397333168154e-06,64668527.96267912,199.6017297676969
valve_body,5343.540725724464,257.0152450824427,chromium,5229959.594540008,1.8745374890824402e-05,314328251.6391858,60.101468463989534
bracket,9014.138765916972,70.64811658186144,abs_plastic,2607959.7224476933,0.0013039798612238466,16450627.806046186,6.307853478122927
bolt,7286.961220815369,540.3239507724948,titanium,820404.5896956654,7.458223542687867e-06,224595061.53438154,273.76134209304774
flange,6456.113296927449,85.62917269613808,steel,3797436.1125301095,1.8987180562650548e-05,227700736.27704737,59.96170298315768
pulley,5848.797552220901,384.83711123050824,chromium,621728.2797383252,2.228416773255646e-06,271720962.92316395,437.0413439091538
valve_body,2910.8176499009105,44.429108827551474,abs_plastic,593127.3514056245,0.0002965636757028123,25190297.057482846,42.47030085155498
bolt,2320.2661636595417,76.97433770780287,abs_plastic,947524.6698412655,0.00047376233492063275,14341887.430732373,15.136162558316295
spring,3728.0409673703134,749.287112595431,chromium,515114.5127284525,1.8462885760876434e-06,150237629.1348563,291.65870000260605
gear,5137.259360703724,643.6059658221775,chromium,1991516.1710348655,7.138050792239662e-06,185464678.05927417,93.127377400556
cam,4918.7473142986055,92.48790301748431,abs_plastic,1117769.0260039663,0.0005588845130019832,9170698.994171897,8.204466916530352
spring,5811.348457800955,404.16380117871387,steel,2858641.600111126,1.4293208000555629e-05,144749010.10970992,50.63559213022122
lever,5762.8415721709125,465.7613282976592,titanium,10838982.846574718,9.85362076961338e-05,317798339.627926,29.319941190639955
bracket,4752.450688510336,293.9691349608234,chromium,537207.0196274923,1.9254731886290047e-06,302010288.3463922,562.1860424605227
bracket,9535.411285537137,277.9852376430007,steel,1711193.9548508613,8.555969774254307e-06,177608011.03046858,103.7918644622304
housing,9805.282678788852,63.70082848355436,titanium,3136284.9088572846,2.8511680989611678e-05,820373964.395557,261.5750763199836
coupling,3237.527851047149,152.20434241515215,steel,576859.5948308625,2.8842979741543126e-06,210363452.4960541,364.67011103062873
housing,9307.166664627235,39.71651663787229,aluminium,4292388.885303021,6.13198412186146e-05,133451451.40088655,31.09025183105364
housing,2616.220125790414,102.68136475730284,aluminium,794418.3063366318,1.1348832947666168e-05,107216098.01779047,134.9617665688057
flange,1452.5511812760853,572.9505775898925,steel,260644.64628090782,1.303223231404539e-06,100794120.41929883,386.71087957305946
piston,8120.1226073238895,262.78024920242905,aluminium,888310.9327598348,1.2690156182283354e-05,40508229.498987906,45.601408251427856
piston,6316.154707991497,171.53368373939296,steel,7872411.822771964,3.936205911385982e-05,205329769.85953307,26.08219367609686
cam,8877.509774611533,47.06443643623061,chromium,1522529.8281487208,5.4570961582391424e-06,384311854.52125645,252.41663408890327
coupling,4709.420379511355,334.73388813039446,titanium,1603611.787000771,1.4578288972734281e-05,481582639.8370069,300.31123725880633
piston,401.95247439658937,30.45749284978004,aluminium,48758.476584799166,6.965496654971309e-07,137309377.97925833,2816.1129632599227
pulley,1357.8990752536592,322.9010908317865,titanium,175826.78975522632,1.5984253614111483e-06,496373636.4602668,2823.0830873456957
bracket,6266.615710608103,103.64051569389264,chromium,10245443.55537887,3.672201991175222e-05,365453161.4353691,35.6698233180452
bearing,6410.5560248322445,441.1329735591437,titanium,656756.3086453347,5.97051189677577e-06,348583783.05107033,530.7657931296927
bracket,3297.269082118335,242.65213453523702,aluminium,1185539.5172015792,1.6936278817165416e-05,48894943.94365125,41.242778696290024
bracket,876.718175288433,27.098208156328102,aluminium,91038.23573414233,1.3005462247734618e-06,138709079.9348633,1523.6354133655825
