component,load_N,temperature_C,material_type,stress_Pa,strain,yield_point_Pa,safety_factor,manufacturing_method,estimation_cost,modulus_gpa,thermal_expansion_alpha,density_kg_m3,delta_temp,thermal_stress_estimate_pa,temp_degradation_factor,adjusted_yield_point_pa,stress_to_yield_ratio,load_intensity,material_efficiency,safety_factor_capped
coupling,9512.071633,737.354063,chromium,1578316.766,5.66e-06,154215312.3,97.70872085,3D Printing,191.9,279.0,4.9,7190,717.354063,980694739.5273001,0.6413229684999999,98901821.87239055,0.010234500987357531,6.168046149980139e-05,0.013589530020862309,97.70872085
coupling,1644.345751,36.26341141,aluminium,189546.7996,2.71e-06,134890245.2,711.6461241,Forging,382.35,69.0,23.1,2700,16.263411410000003,25922251.446399007,0.991868294295,133793357.4235583,0.0014051927870615214,1.2190249551121731e-05,0.2635726385555555,711.6461241
bearing,303.7864935,582.5477143,titanium,36420.07671,3.31e-07,171815357.2,4717.600091,Forging,186.07,116.0,8.6,4500,562.5477143,561197599.7856799,0.71872614285,123488188.96275097,0.00021197218516157183,1.7680986056815648e-06,1.0483555757777778,1000.0
pulley,1900.067175,71.35326276,aluminium,610561.7838,8.72e-06,120269473.9,196.9816602,Casting,450.09,69.0,23.1,2700,51.35326276000001,81851965.51316401,0.97432336862,117181358.95240317,0.005076614738563349,1.5798415951996608e-05,0.07295617044444444,196.9816602
pulley,4376.255685,43.29833122,abs_plastic,710737.605,0.000355369,25567222.93,35.9728017,Machining,197.26,2.3,73.8,1050,23.29833122,3954658.7412827997,0.98835083439,25269386.115900643,0.02779877998271125,0.00017116664164041847,0.034259811142857144,35.9728017
piston,9740.179637,248.1159136,chromium,9769451.827,3.5e-05,317294695.5,32.47824966,Casting,222.84,279.0,4.9,7190,228.1159136,311857265.48256004,0.8859420432,281104710.82779187,0.030789836595298516,3.069758106624256e-05,0.004517141816411684,32.47824966
cam,3886.373714,590.2739138,titanium,823218.1103,7.48e-06,162157607.8,196.9801269,Casting,194.47,116.0,8.6,4500,570.2739138,568905256.4068799,0.7148630431,115920480.9737243,0.005076654259202755,2.396664434513198e-05,0.04377336153333333,196.9801269
spring,6835.044632,281.2895661,titanium,29547607.54,0.000268615,548388042.3,18.55947361,Casting,239.05,116.0,8.6,4500,261.2895661,260662471.14135998,0.8693552169500001,476744005.4865023,0.0538808384954458,1.2463883427021983e-05,0.004124327468888889,18.55947361
valve_body,5676.553357,397.7081725,chromium,21996526.56,7.88e-05,267430609.2,12.15785631,Machining,425.41,279.0,4.9,7190,377.7081725,516364842.6247501,0.81114591375,216925245.86425313,0.08225134222967623,2.1226266409746487e-05,0.0016909396815020861,12.15785631
shaft,2486.152114,689.5982484,chromium,404978.9076,1.45e-06,170133917.2,420.1056253,Injection Molding,227.82,279.0,4.9,7190,669.5982484,915407765.3876401,0.6652008758,113173230.72472467,0.0023803537487703244,1.4612912903647647e-05,0.05842915511821975,420.1056253
flange,9102.271981,170.0923893,titanium,1366918.779,1.24e-05,687384513.3,502.8715122,3D Printing,428.13,116.0,8.6,4500,150.0923893,149732167.56568,0.9249538053499999,635798921.3154926,0.001988579539619954,1.324189271780616e-05,0.11174922493333334,502.8715122
shaft,5720.233245,28.76772189,aluminium,677863.6485,9.68e-06,138013449.2,203.6006054,Forging,128.05,69.0,23.1,2700,8.76772189,13974871.920471001,0.995616139055,137408417.43016738,0.00491157675160835,4.144692621014504e-05,0.07540763162962963,203.6006054
bracket,4011.987336,279.4644824,aluminium,549587.8515,7.85e-06,33556465.66,61.05750985,Forging,249.64,69.0,23.1,2700,259.4644824,413560438.49736,0.8702677588,29203110.16317736,0.016378001696260882,0.00011955929377813982,0.022613892537037036,61.05750985
housing,547.7501602,338.8237241,chromium,138744.508,4.97e-07,287058758.6,2068.973848,Forging,452.5,279.0,4.9,7190,318.8237241,435863913.21711004,0.84058813795,241298187.37381256,0.0004833313871928658,1.908146481477886e-06,0.2877571415855355,1000.0
shaft,5908.83654,97.22042458,abs_plastic,967133.4902,0.000483567,7593191.806,7.851234482,Casting,98.36,2.3,73.8,1050,77.22042458,13107394.868209198,0.9613897877099999,7300017.058411651,0.1273685052227693,0.0007781755934745315,0.007477366173333333,7.851234482
lever,3033.107706,148.9082125,steel,11903856.46,5.95e-05,211221819.7,17.74398241,Injection Molding,494.14,200.0,12.0,7850,128.9082125,309379710.0,0.93554589375,197607706.09073785,0.0563571343003632,1.4359821870240236e-05,0.0022603799248407646,17.74398241
valve_body,2067.285247,24.30725136,steel,252938.702,1.26e-06,243669986.6,963.355883,Forging,425.66,200.0,12.0,7850,4.307251359999999,10337403.263999997,0.99784637432,243145212.65941298,0.0010380379854299216,8.483955188102759e-06,0.12272049464968152,963.355883
gear,7922.737851,371.4567854,titanium,854629.3641,7.77e-06,435679018.3,509.787092,Machining,151.22,116.0,8.6,4500,351.4567854,350613289.11503994,0.8242716073,359117844.6810271,0.001961603217512575,1.8184804680092623e-05,0.11328602044444444,509.787092
piston,9158.100788,683.0300907,steel,2012963.324,1.01e-05,72127580.55,35.83154234,Machining,318.41,200.0,12.0,7850,663.0300907,1591272217.6799998,0.66848495465,48216202.41298097,0.027908371647161815,0.00012697085800141955,0.004564527686624203,35.83154234
gear,7323.101166,71.00459771,abs_plastic,824357.3513,0.000412179,16331800.76,19.81155471,3D Printing,423.57,2.3,73.8,1050,51.00459771,8657520.415295398,0.974497701145,15915302.296178164,0.050475594419387225,0.0004483952059919693,0.018868147342857144,19.81155471
gear,1283.983035,433.6819766,titanium,168241.7973,1.53e-06,357897529.3,2127.280705,Casting,174.81,116.0,8.6,4500,413.6819766,412689139.8561599,0.7931590117,283869650.6294598,0.0004700837070014386,3.587571664748008e-06,0.47272904555555556,1000.0
piston,5275.055011,267.9737906,titanium,15000894.9,0.000136372,565032761.7,37.6666036,Casting,304.46,116.0,8.6,4500,247.97379059999997,247378653.50255993,0.8760131047,494976103.8340323,0.026548717024597265,9.335839208914317e-06,0.008370356355555556,37.6666036
lever,411.1489383,389.1180385,titanium,127999.0782,1.16e-06,413602451.8,3231.292425,3D Printing,70.07,116.0,8.6,4500,369.1180385,368232155.2076,0.81544098075,337268388.93639666,0.0003094736930183739,9.940679425633907e-07,0.7180649833333334,1000.0
bearing,2567.993069,52.83063384,abs_plastic,338787.3197,0.000169394,22389788.72,66.08803641,3D Printing,447.72,2.3,73.8,1050,32.83063384,5572671.788001599,0.98358468308,22022253.24238936,0.015131331694853081,0.00011469483259152435,0.06294098705714286,66.08803641
bearing,862.1011073,43.18011623,abs_plastic,508287.1364,0.000254144,25606627.92,50.37827261,Casting,109.24,2.3,73.8,1050,23.180116230000003,3934592.9288802,0.988409941885,25309845.61427802,0.019849827083362408,3.3667107984439365e-05,0.04797930724761905,50.37827261
shaft,8100.391758,197.3530518,aluminium,928149.9891,1.33e-05,67769561.74,73.01574373,Machining,403.13,69.0,23.1,2700,177.3530518,282683029.26402,0.9113234741,61759992.44313124,0.01369567642566254,0.00011952846602546142,0.027042868048148146,73.01574373
bracket,1947.043583,894.7078185,chromium,357946.0996,1.28e-06,101764060.5,284.2999564,Injection Molding,360.27,279.0,4.9,7190,874.7078185,1195813058.6713502,0.5626460907499999,57257150.81917148,0.0035174117251345334,1.9132919553657156e-05,0.03954102314325452,284.2999564
piston,3627.348597,908.6918727,chromium,1298212.864,4.65e-06,97102709.1,74.79721683,Casting,243.64,279.0,4.9,7190,888.6918727,1214930659.1681702,0.55565406365,53955514.90283883,0.013369481408217478,3.735579193021712e-05,0.010402950880389429,74.79721683
cylinder,8198.346183,691.3698549,steel,48560895.26,0.000242804,69955766.94,1.440578197,Casting,301.78,200.0,12.0,7850,671.3698549,1611287651.76,0.66431507255,46472670.39003699,0.6941657190557277,0.0001171932857234143,0.00018351314611464968,1.440578197
flange,4232.368931,148.8225301,titanium,3289404.704,2.99e-05,713971837.4,217.0519902,3D Printing,156.15,116.0,8.6,4500,128.8225301,128513356.02775998,0.9355887349500001,667984008.1429931,0.00460719111271769,5.92792139590911e-06,0.0482337756,217.0519902
bracket,3299.709027,320.8985606,titanium,467388.317,4.25e-06,498876799.2,1067.371137,Milling,443.46,116.0,8.6,4500,300.8985606,300176404.05455995,0.8495507197000001,423821143.8019924,0.0009368812455289663,6.614276375031714e-06,0.237193586,1000.0
gear,2613.762598,212.563329,steel,373746.3895,1.87e-06,194644966.4,520.7942387,Injection Molding,105.37,200.0,12.0,7850,192.563329,462151989.6,0.9037183355,175904225.04846144,0.0019201441291419904,1.3428359573546103e-05,0.06634321512101911,520.7942387
bolt,1566.060607,798.2375783,steel,571318.9233,2.86e-06,42125630.64,73.73400201,Milling,307.43,200.0,12.0,7850,778.2375783,1867770187.92,0.6108812108499999,25733756.253183056,0.013562263985610449,3.717595637637675e-05,0.009392866498089172,73.73400201
shaft,4169.266432,29.25420521,aluminium,1185728.935,1.69e-05,137810747.8,116.224496,Milling,161.53,69.0,23.1,2700,9.254205209999999,14750277.684218997,0.995372897395,137173083.32985765,0.008604038175025417,3.0253565114171742e-05,0.04304610962962963,116.224496
gear,6838.98397,327.9420583,titanium,1508692.591,1.37e-05,490072427.1,324.8325273,Casting,217.0,116.0,8.6,4500,307.9420583,307202997.36007994,0.84602897085,414615471.14137465,0.0030785094356923473,1.3955047441598861e-05,0.07218500606666667,324.8325273
pulley,900.4479307,382.2613669,chromium,360556.5468,1.29e-06,272579544.4,755.9966579,3D Printing,389.53,279.0,4.9,7190,362.2613669,495247514.68899006,0.8188693165500001,223207025.2283384,0.0013227571701818432,3.3034317842230573e-06,0.10514557133518776,755.9966579
pulley,6359.827723,70.68237686,abs_plastic,1176837.232,0.000588419,16439207.71,13.96897317,Injection Molding,231.58,2.3,73.8,1050,50.682376860000005,8602826.6482164,0.97465881157,16022618.649780981,0.07158722322634367,0.0003868694790644506,0.01330378397142857,13.96897317
gear,3275.722643,165.4844381,steel,6503657.692,3.25e-05,206905094.2,31.81365072,Casting,186.58,200.0,12.0,7850,145.4844381,349162651.44,0.92725778095,191854358.5151427,0.03143304768375297,1.5832005759285942e-05,0.004052694359235669,31.81365072
bearing,6807.887182,36.25607235,chromium,1316877.026,4.72e-06,387914642.6,294.5716531,Machining,56.2,279.0,4.9,7190,16.256072349999997,22223676.509685,0.991871963825,384761658.352135,0.0033947597780110196,1.7549961858542126e-05,0.040969631863699583,294.5716531
bolt,6487.210625,190.8791004,chromium,934718.3764,3.35e-06,336373633.2,359.8662888,Milling,309.45,279.0,4.9,7190,170.8791004,233608818.15684003,0.9145604498,307634021.28025216,0.0027788098832474124,1.928572867999691e-05,0.05005094420027816,359.8662888
coupling,8393.330048,209.1932328,aluminium,1137517.283,1.63e-05,62836153.01,55.23973477,Machining,130.07,69.0,23.1,2700,189.1932328,301555093.75992,0.9054033836,56892065.54766132,0.01810291095985731,0.00013357485533311135,0.020459161025925925,55.23973477
shaft,2653.622114,204.7955329,aluminium,323987.8133,4.63e-06,64668527.96,199.6017298,Casting,110.34,69.0,23.1,2700,184.7955329,294545599.88931,0.90760223355,58693300.41688663,0.005009976622637816,4.1034212432380836e-05,0.07392656659259259,199.6017298
valve_body,5343.540726,257.0152451,chromium,5229959.595,1.87e-05,314328251.6,60.10146846,3D Printing,254.38,279.0,4.9,7190,237.01524510000002,324023541.5762101,0.88149237745,277077957.8025858,0.016638528571257447,1.6999874172303004e-05,0.008359035947148818,60.10146846
bracket,9014.138766,70.64811658,abs_plastic,2607959.722,0.00130398,16450627.81,6.307853478,Machining,453.2,2.3,73.8,1050,50.64811658000001,8597011.3082892,0.97467594171,16034031.152432466,0.15853253457078853,0.0005479510490487475,0.006007479502857143,6.307853478
bolt,7286.961221,540.3239508,titanium,820404.5897,7.46e-06,224595061.5,273.7613421,Injection Molding,137.98,116.0,8.6,4500,520.3239508,519075173.31807995,0.7398380246,166163966.6350755,0.003652816692498824,3.244488624252319e-05,0.06083585379999999,273.7613421
flange,6456.113297,85.6291727,steel,3797436.113,1.9e-05,227700736.3,59.96170298,Forging,357.98,200.0,12.0,7850,65.6291727,157510014.48,0.96718541365,220228830.82672507,0.016677311521719484,2.835350206550913e-05,0.0076384335006369425,59.96170298
pulley,5848.797552,384.8371112,chromium,621728.2797,2.23e-06,271720962.9,437.0413439,Milling,68.09,279.0,4.9,7190,364.8371112,498768814.72152007,0.8175814444,222154017.3215408,0.0022881130445898327,2.152501407906648e-05,0.060784609721835886,437.0413439
valve_body,2910.81765,44.42910883,abs_plastic,593127.3514,0.000296564,25190297.06,42.47030085,Machining,92.28,2.3,73.8,1050,24.429108829999997,4146596.932804199,0.987785445585,24882608.805830617,0.023545865695321026,0.00011555312916980741,0.04044790557142857,42.47030085
